Scode,Year,Longitu,Latitu
SZ000821,2000,113.11953,31.01848
SZ000821,2001,113.11953,31.01848
SZ000821,2002,113.11953,31.01848
SZ000821,2003,113.11953,31.01848
SZ000821,2004,113.11953,31.01848
SZ000821,2005,113.11953,31.01848
SZ000821,2006,113.11953,31.01848
SZ000821,2007,113.11953,31.01848
SZ000821,2008,113.11953,31.01848
SZ000821,2009,113.11953,31.01848
SZ000821,2010,113.11953,31.01848
SZ000821,2011,113.11953,31.01848
SZ000821,2012,113.11953,31.01848
SZ000821,2013,113.11953,31.01848
SZ000821,2014,113.11953,31.01848
SZ000821,2015,113.11953,31.01848
SZ000821,2016,113.11953,31.01848
SZ000821,2017,113.11953,31.01848
SZ000821,2018,113.11953,31.01848
SZ000821,2019,113.11953,31.01848
SZ000821,2020,113.11953,31.01848
SZ000821,2021,113.11953,31.01848
SZ000821,2022,113.11953,31.01848
SZ000821,2023,113.11953,31.01848
SZ000821,2024,113.11953,31.01848
SZ002056,2006,120.24191,29.28946
SZ002056,2007,120.24191,29.28946
SZ002056,2008,120.24191,29.28946
SZ002056,2009,120.24191,29.28946
SZ002056,2010,120.24191,29.28946
SZ002056,2011,120.24191,29.28946
SZ002056,2012,120.24191,29.28946
SZ002056,2013,120.24191,29.28946
SZ002056,2014,120.24191,29.28946
SZ002056,2015,120.24191,29.28946
SZ002056,2016,120.24191,29.28946
SZ002056,2017,120.24191,29.28946
SZ002056,2018,120.24191,29.28946
SZ002056,2019,120.24191,29.28946
SZ002056,2020,120.24191,29.28946
SZ002056,2021,120.24191,29.28946
SZ002056,2022,120.24191,29.28946
SZ002056,2023,120.24191,29.28946
SZ002056,2024,120.24191,29.28946
SZ002079,2006,120.57186,31.29579
SZ002079,2007,120.57186,31.29579
SZ002079,2008,120.57186,31.29579
SZ002079,2009,120.57186,31.29579
SZ002079,2010,120.57186,31.29579
SZ002079,2011,120.57186,31.29579
SZ002079,2012,120.57186,31.29579
SZ002079,2013,120.57186,31.29579
SZ002079,2014,120.57186,31.29579
SZ002079,2015,120.57186,31.29579
SZ002079,2016,120.57186,31.29579
SZ002079,2017,120.57186,31.29579
SZ002079,2018,120.57186,31.29579
